Time,Heart Rate
09:00:00,87.908
09:00:01,87.786
09:00:02,87.684
09:00:03,87.6
09:00:04,87.51
09:00:05,87.41900000000001
09:00:06,87.37899999999999
09:00:07,87.32300000000001
09:00:08,87.285
09:00:09,87.227
09:00:10,87.16
09:00:11,87.128
09:00:12,87.12100000000001
09:00:13,87.114
09:00:14,87.101
09:00:15,87.053
09:00:16,87.01
09:00:17,86.975
09:00:18,86.964
09:00:19,86.925
09:00:20,86.85
09:00:21,86.77799999999999
09:00:22,86.709
09:00:23,86.657
09:00:24,86.602
09:00:25,86.535
09:00:26,86.451
09:00:27,86.4
09:00:28,86.311
09:00:29,86.271
09:00:30,86.216
09:00:31,86.106
09:00:32,85.988
09:00:33,85.936
09:00:34,85.88
09:00:35,85.811
09:00:36,85.75399999999999
09:00:37,85.712
09:00:38,85.658
09:00:39,85.646
09:00:40,85.651
09:00:41,85.64399999999999
09:00:42,85.613
09:00:43,85.59700000000001
09:00:44,85.58500000000001
09:00:45,85.58099999999999
09:00:46,85.57300000000001
09:00:47,85.575
09:00:48,85.58200000000001
09:00:49,85.63
09:00:50,85.651
09:00:51,85.674
09:00:52,85.697
09:00:53,85.75
09:00:54,85.804
09:00:55,85.827
09:00:56,85.853
09:00:57,85.816
09:00:58,85.779
09:00:59,85.736
09:01:00,85.717
09:01:01,85.688
09:01:02,85.673
09:01:03,85.667
09:01:04,85.674
09:01:05,85.735
09:01:06,85.667
09:01:07,85.606
09:01:08,85.56
09:01:09,85.55199999999999
09:01:10,85.51599999999999
09:01:11,85.483
09:01:12,85.442
09:01:13,85.41499999999999
09:01:14,85.388
09:01:15,85.352
09:01:16,85.31
09:01:17,85.265
09:01:18,85.221
09:01:19,85.191
09:01:20,85.164
09:01:21,85.163
09:01:22,85.191
09:01:23,85.20700000000001
09:01:24,85.237
09:01:25,85.274
09:01:26,85.332
09:01:27,85.369
09:01:28,85.434
09:01:29,85.474
09:01:30,85.52799999999999
09:01:31,85.6
09:01:32,85.67699999999999
09:01:33,85.681
09:01:34,85.716
09:01:35,85.771
09:01:36,85.8
09:01:37,85.772
09:01:38,85.755
09:01:39,85.75
09:01:40,85.762
09:01:41,85.786
09:01:42,85.804
09:01:43,85.798
09:01:44,85.77799999999999
09:01:45,85.739
09:01:46,85.704
09:01:47,85.637
09:01:48,85.604
09:01:49,85.562
09:01:50,85.511
09:01:51,85.455
09:01:52,85.404
09:01:53,85.35499999999999
09:01:54,85.284
09:01:55,85.272
09:01:56,85.247
09:01:57,85.257
09:01:58,85.259
09:01:59,85.256
09:02:00,85.25699999999999
09:02:01,85.285
09:02:02,85.30199999999999
09:02:03,85.313
09:02:04,85.303
09:02:05,85.251
09:02:06,85.285
09:02:07,85.334
09:02:08,85.364
09:02:09,85.384
09:02:10,85.452
09:02:11,85.521
09:02:12,85.628
09:02:13,85.661
09:02:14,85.749
09:02:15,85.837
09:02:16,85.91
09:02:17,85.986
09:02:18,86.034
09:02:19,86.163
09:02:20,86.285
09:02:21,86.397
09:02:22,86.459
09:02:23,86.572
09:02:24,86.686
09:02:25,86.789
09:02:26,86.87899999999999
09:02:27,86.951
09:02:28,87.005
09:02:29,87.049
09:02:30,87.079
09:02:31,87.075
09:02:32,87.048
09:02:33,87.029
09:02:34,86.94500000000001
09:02:35,86.839
09:02:36,86.772
09:02:37,86.691
09:02:38,86.601
09:02:39,86.499
09:02:40,86.381
09:02:41,86.24
09:02:42,86.104
09:02:43,85.988
09:02:44,85.973
09:02:45,85.975
09:02:46,86.002
09:02:47,86.058
09:02:48,86.1
09:02:49,86.16
09:02:50,86.24199999999999
09:02:51,86.339
09:02:52,86.399
09:02:53,86.432
09:02:54,86.607
09:02:55,86.744
09:02:56,86.949
09:02:57,87.14
09:02:58,87.30999999999999
09:02:59,87.464
09:03:00,87.618
09:03:01,87.785
09:03:02,87.94500000000001
09:03:03,88.082
09:03:04,88.276
09:03:05,88.36
09:03:06,88.52000000000001
09:03:07,88.67699999999999
09:03:08,88.85
09:03:09,89.012
09:03:10,89.142
09:03:11,89.255
09:03:12,89.336
09:03:13,89.48400000000001
09:03:14,89.61
09:03:15,89.712
09:03:16,89.848
09:03:17,89.986
09:03:18,90.134
09:03:19,90.199
09:03:20,90.297
09:03:21,90.375
09:03:22,90.424
09:03:23,90.44500000000001
09:03:24,90.45
09:03:25,90.465
09:03:26,90.491
09:03:27,90.505
09:03:28,90.549
09:03:29,90.638
09:03:30,90.744
09:03:31,90.898
09:03:32,91.084
09:03:33,91.268
09:03:34,91.512
09:03:35,91.724
09:03:36,91.90700000000001
09:03:37,92.154
09:03:38,92.39500000000001
09:03:39,92.599
09:03:40,92.814
09:03:41,93.056
09:03:42,93.33500000000001
09:03:43,93.611
09:03:44,93.824
09:03:45,94.032
09:03:46,94.191
09:03:47,94.378
09:03:48,94.543
09:03:49,94.67099999999999
09:03:50,94.804
09:03:51,94.937
09:03:52,95.122
09:03:53,95.30699999999999
09:03:54,95.429
09:03:55,95.549
09:03:56,95.606
09:03:57,95.699
09:03:58,95.74300000000001
09:03:59,95.75399999999999
09:04:00,95.773
09:04:01,95.787
09:04:02,95.81700000000001
09:04:03,95.904
09:04:04,95.954
09:04:05,96.09299999999999
09:04:06,96.183
09:04:07,96.332
09:04:08,96.382
09:04:09,96.479
09:04:10,96.589
09:04:11,96.69800000000001
09:04:12,96.768
09:04:13,96.843
09:04:14,96.88300000000001
09:04:15,96.964
09:04:16,97.047
09:04:17,97.131
09:04:18,97.24000000000001
09:04:19,97.34400000000001
09:04:20,97.41900000000001
09:04:21,97.464
09:04:22,97.571
09:04:23,97.69500000000001
09:04:24,97.829
09:04:25,98.041
09:04:26,98.27000000000001
09:04:27,98.52000000000001
09:04:28,98.78099999999999
09:04:29,98.97999999999999
09:04:30,99.172
09:04:31,99.38
09:04:32,99.588
09:04:33,99.584
09:04:34,99.569
09:04:35,99.591
09:04:36,99.587
09:04:37,99.59299999999999
09:04:38,99.612
09:04:39,99.625
09:04:40,99.622
09:04:41,99.632
09:04:42,99.578
09:04:43,99.551
09:04:44,99.502
09:04:45,99.441
09:04:46,99.33500000000001
09:04:47,99.187
09:04:48,99.022
09:04:49,98.888
09:04:50,98.755
09:04:51,98.628
09:04:52,98.498
09:04:53,98.39500000000001
09:04:54,98.242
09:04:55,98.088
09:04:56,97.941
09:04:57,97.75800000000001
09:04:58,97.639
09:04:59,97.642
09:05:00,97.638
09:05:01,97.602
09:05:02,97.56800000000001
09:05:03,97.514
09:05:04,97.476
09:05:05,97.41
09:05:06,97.33399999999999
09:05:07,97.139
09:05:08,96.979
09:05:09,96.80499999999999
09:05:10,96.58099999999999
09:05:11,96.35499999999999
09:05:12,96.12100000000001
09:05:13,95.89399999999999
09:05:14,95.66499999999999
09:05:15,95.431
09:05:16,95.166
09:05:17,94.901
09:05:18,94.635
09:05:19,94.378
09:05:20,94.138
09:05:21,93.926
09:05:22,93.671
09:05:23,93.389
09:05:24,93.051
09:05:25,92.68199999999999
09:05:26,92.303
09:05:27,91.897
09:05:28,91.453
09:05:29,90.993
09:05:30,90.53999999999999
09:05:31,90.075
09:05:32,89.615
09:05:33,89.39
09:05:34,89.163
09:05:35,88.97200000000001
09:05:36,88.84
09:05:37,88.674
09:05:38,88.512
09:05:39,88.36
09:05:40,88.209
09:05:41,88.027
09:05:42,87.885
09:05:43,87.85900000000001
09:05:44,87.844
09:05:45,87.851
09:05:46,87.91499999999999
09:05:47,87.994
09:05:48,88.077
09:05:49,88.174
09:05:50,88.252
09:05:51,88.328
09:05:52,88.421
09:05:53,88.514
09:05:54,88.623
09:05:55,88.731
09:05:56,88.849
09:05:57,88.96900000000001
09:05:58,88.892
09:05:59,88.747
09:06:00,88.59700000000001
09:06:01,88.433
09:06:02,88.289
09:06:03,88.13300000000001
09:06:04,87.92
09:06:05,87.739
09:06:06,87.53999999999999
09:06:07,87.495
09:06:08,87.489
09:06:09,87.477
09:06:10,87.467
09:06:11,87.497
09:06:12,87.547
09:06:13,87.59
09:06:14,87.646
