Heart Rate,Time,Student,Temperature
83.72,09:00:00,S1,23.09
72.77,09:00:00,S10,22.73
88.55,09:00:00,S2,23.19
77.27,09:00:00,S3,22.73
83.92,09:00:00,S4,22.35
82.97,09:00:00,S5,22.81
116.65,09:00:00,S6,22.99
103.43,09:00:00,S7,22.97
108.42,09:00:00,S8,23.19
61.38,09:00:00,S9,22.81
83.48,09:00:01,S1,23.09
72.72,09:00:01,S10,22.73
88.7,09:00:01,S2,23.19
77.18,09:00:01,S3,22.73
83.48,09:00:01,S4,22.35
82.88,09:00:01,S5,22.81
116.45,09:00:01,S6,22.99
103.13,09:00:01,S7,22.97
108.22,09:00:01,S8,23.19
61.62,09:00:01,S9,22.79
83.27,09:00:02,S1,23.13
72.7,09:00:02,S10,22.73
88.93,09:00:02,S2,23.21
77.12,09:00:02,S3,22.75
83.07,09:00:02,S4,22.35
82.8,09:00:02,S5,22.79
116.27,09:00:02,S6,22.99
102.78,09:00:02,S7,22.97
108.08,09:00:02,S8,23.19
61.82,09:00:02,S9,22.79
83.02,09:00:03,S1,23.13
72.72,09:00:03,S10,22.71
89.18,09:00:03,S2,23.21
77.07,09:00:03,S3,22.75
82.65,09:00:03,S4,22.33
82.72,09:00:03,S5,22.79
116.2,09:00:03,S6,22.97
102.45,09:00:03,S7,22.97
107.97,09:00:03,S8,23.19
62.02,09:00:03,S9,22.79
82.78,09:00:04,S1,23.13
72.67,09:00:04,S10,22.71
89.47,09:00:04,S2,23.21
77.03,09:00:04,S3,22.75
82.23,09:00:04,S4,22.33
82.65,09:00:04,S5,22.79
116.08,09:00:04,S6,22.97
102.12,09:00:04,S7,22.93
107.85,09:00:04,S8,23.19
62.22,09:00:04,S9,22.81
82.53,09:00:05,S1,23.13
72.65,09:00:05,S10,22.71
89.72,09:00:05,S2,23.19
77.03,09:00:05,S3,22.73
81.78,09:00:05,S4,22.33
82.53,09:00:05,S5,22.81
116.02,09:00:05,S6,22.97
101.88,09:00:05,S7,22.93
107.65,09:00:05,S8,23.19
62.4,09:00:05,S9,22.81
82.32,09:00:06,S1,23.13
72.67,09:00:06,S10,22.71
90.0,09:00:06,S2,23.19
77.02,09:00:06,S3,22.73
81.47,09:00:06,S4,22.33
82.47,09:00:06,S5,22.81
115.88,09:00:06,S6,22.97
101.68,09:00:06,S7,22.93
107.7,09:00:06,S8,23.19
62.58,09:00:06,S9,22.81
81.93,09:00:07,S1,23.13
72.68,09:00:07,S10,22.71
90.47,09:00:07,S2,23.19
76.97,09:00:07,S3,22.73
81.2,09:00:07,S4,22.33
82.38,09:00:07,S5,22.81
115.73,09:00:07,S6,22.97
101.45,09:00:07,S7,22.97
107.7,09:00:07,S8,23.21
62.72,09:00:07,S9,22.81
81.63,09:00:08,S1,23.11
72.68,09:00:08,S10,22.71
90.93,09:00:08,S2,23.21
76.93,09:00:08,S3,22.73
80.98,09:00:08,S4,22.33
82.28,09:00:08,S5,22.81
115.63,09:00:08,S6,22.97
101.28,09:00:08,S7,22.97
107.68,09:00:08,S8,23.21
62.83,09:00:08,S9,22.81
81.2,09:00:09,S1,23.11
72.68,09:00:09,S10,22.71
91.37,09:00:09,S2,23.21
76.9,09:00:09,S3,22.73
80.8,09:00:09,S4,22.35
82.17,09:00:09,S5,22.81
115.48,09:00:09,S6,22.97
101.13,09:00:09,S7,22.97
107.62,09:00:09,S8,23.21
62.92,09:00:09,S9,22.81
80.8,09:00:10,S1,23.11
72.7,09:00:10,S10,22.71
91.8,09:00:10,S2,23.21
76.83,09:00:10,S3,22.73
80.6,09:00:10,S4,22.35
82.03,09:00:10,S5,22.81
115.32,09:00:10,S6,22.97
100.97,09:00:10,S7,22.95
107.55,09:00:10,S8,23.21
63.0,09:00:10,S9,22.83
80.35,09:00:11,S1,23.11
72.75,09:00:11,S10,22.71
92.2,09:00:11,S2,23.19
76.72,09:00:11,S3,22.73
80.52,09:00:11,S4,22.35
82.05,09:00:11,S5,22.79
115.17,09:00:11,S6,22.97
100.8,09:00:11,S7,22.95
107.67,09:00:11,S8,23.21
63.05,09:00:11,S9,22.83
79.87,09:00:12,S1,23.11
72.77,09:00:12,S10,22.69
92.65,09:00:12,S2,23.19
76.73,09:00:12,S3,22.73
80.43,09:00:12,S4,22.33
82.43,09:00:12,S5,22.79
115.03,09:00:12,S6,23.01
100.6,09:00:12,S7,22.95
107.58,09:00:12,S8,23.21
63.12,09:00:12,S9,22.83
79.37,09:00:13,S1,23.11
72.87,09:00:13,S10,22.69
93.13,09:00:13,S2,23.19
76.72,09:00:13,S3,22.73
80.43,09:00:13,S4,22.33
82.6,09:00:13,S5,22.79
114.9,09:00:13,S6,23.01
100.4,09:00:13,S7,22.95
107.55,09:00:13,S8,23.19
63.17,09:00:13,S9,22.83
78.9,09:00:14,S1,23.09
72.9,09:00:14,S10,22.69
93.62,09:00:14,S2,23.19
76.75,09:00:14,S3,22.73
80.47,09:00:14,S4,22.33
82.73,09:00:14,S5,22.83
114.7,09:00:14,S6,23.01
100.17,09:00:14,S7,22.95
107.55,09:00:14,S8,23.19
63.22,09:00:14,S9,22.83
78.42,09:00:15,S1,23.09
72.92,09:00:15,S10,22.69
93.87,09:00:15,S2,23.19
76.77,09:00:15,S3,22.73
80.45,09:00:15,S4,22.35
82.85,09:00:15,S5,22.83
114.5,09:00:15,S6,22.99
99.9,09:00:15,S7,22.95
107.53,09:00:15,S8,23.19
63.32,09:00:15,S9,22.83
77.97,09:00:16,S1,23.09
72.88,09:00:16,S10,22.69
94.1,09:00:16,S2,23.19
76.8,09:00:16,S3,22.73
80.43,09:00:16,S4,22.35
83.08,09:00:16,S5,22.83
114.27,09:00:16,S6,22.99
99.55,09:00:16,S7,22.97
107.52,09:00:16,S8,23.21
63.5,09:00:16,S9,22.81
77.43,09:00:17,S1,23.13
72.8,09:00:17,S10,22.69
94.45,09:00:17,S2,23.17
76.7,09:00:17,S3,22.77
80.63,09:00:17,S4,22.35
83.33,09:00:17,S5,22.81
113.97,09:00:17,S6,22.99
99.2,09:00:17,S7,22.97
107.52,09:00:17,S8,23.21
63.72,09:00:17,S9,22.81
76.9,09:00:18,S1,23.13
72.63,09:00:18,S10,22.69
95.02,09:00:18,S2,23.17
76.55,09:00:18,S3,22.77
80.82,09:00:18,S4,22.33
83.58,09:00:18,S5,22.81
113.62,09:00:18,S6,22.99
98.82,09:00:18,S7,22.97
107.58,09:00:18,S8,23.21
64.12,09:00:18,S9,22.81
76.37,09:00:19,S1,23.13
72.52,09:00:19,S10,22.69
95.35,09:00:19,S2,23.17
76.38,09:00:19,S3,22.77
81.02,09:00:19,S4,22.33
83.83,09:00:19,S5,22.81
113.27,09:00:19,S6,22.99
98.37,09:00:19,S7,22.95
107.62,09:00:19,S8,23.23
64.52,09:00:19,S9,22.81
75.87,09:00:20,S1,23.11
72.4,09:00:20,S10,22.69
95.45,09:00:20,S2,23.19
76.22,09:00:20,S3,22.75
81.23,09:00:20,S4,22.33
84.08,09:00:20,S5,22.83
112.88,09:00:20,S6,22.99
97.87,09:00:20,S7,22.95
107.62,09:00:20,S8,23.23
64.88,09:00:20,S9,22.81
75.38,09:00:21,S1,23.11
72.35,09:00:21,S10,22.71
95.57,09:00:21,S2,23.19
75.98,09:00:21,S3,22.75
81.4,09:00:21,S4,22.37
84.38,09:00:21,S5,22.83
112.48,09:00:21,S6,22.99
97.32,09:00:21,S7,22.95
107.6,09:00:21,S8,23.23
65.32,09:00:21,S9,22.81
74.77,09:00:22,S1,23.11
72.45,09:00:22,S10,22.71
95.6,09:00:22,S2,23.19
75.73,09:00:22,S3,22.75
81.6,09:00:22,S4,22.37
84.65,09:00:22,S5,22.83
112.15,09:00:22,S6,22.99
96.78,09:00:22,S7,22.95
107.58,09:00:22,S8,23.23
65.78,09:00:22,S9,22.81
74.13,09:00:23,S1,23.09
72.58,09:00:23,S10,22.71
95.78,09:00:23,S2,23.19
75.48,09:00:23,S3,22.75
81.8,09:00:23,S4,22.37
84.95,09:00:23,S5,22.83
111.78,09:00:23,S6,22.99
96.27,09:00:23,S7,22.95
107.53,09:00:23,S8,23.23
66.27,09:00:23,S9,22.81
73.43,09:00:24,S1,23.09
72.77,09:00:24,S10,22.71
95.95,09:00:24,S2,23.19
75.22,09:00:24,S3,22.75
82.03,09:00:24,S4,22.35
85.2,09:00:24,S5,22.83
111.35,09:00:24,S6,22.97
95.77,09:00:24,S7,22.95
107.52,09:00:24,S8,23.23
66.78,09:00:24,S9,22.81
72.65,09:00:25,S1,23.09
72.93,09:00:25,S10,22.71
96.1,09:00:25,S2,23.19
74.98,09:00:25,S3,22.75
82.28,09:00:25,S4,22.35
85.42,09:00:25,S5,22.83
110.9,09:00:25,S6,22.97
95.27,09:00:25,S7,22.95
107.5,09:00:25,S8,23.21
67.32,09:00:25,S9,22.81
71.87,09:00:26,S1,23.11
73.08,09:00:26,S10,22.71
96.22,09:00:26,S2,23.19
74.77,09:00:26,S3,22.75
82.48,09:00:26,S4,22.35
85.57,09:00:26,S5,22.81
110.5,09:00:26,S6,22.97
94.77,09:00:26,S7,22.95
107.47,09:00:26,S8,23.21
67.78,09:00:26,S9,22.81
71.08,09:00:27,S1,23.11
73.2,09:00:27,S10,22.71
96.42,09:00:27,S2,23.19
74.52,09:00:27,S3,22.75
82.67,09:00:27,S4,22.35
85.6,09:00:27,S5,22.81
110.1,09:00:27,S6,22.99
94.67,09:00:27,S7,22.95
107.47,09:00:27,S8,23.21
68.27,09:00:27,S9,22.81
70.25,09:00:28,S1,23.11
73.27,09:00:28,S10,22.71
96.58,09:00:28,S2,23.19
74.4,09:00:28,S3,22.75
82.83,09:00:28,S4,22.35
85.63,09:00:28,S5,22.81
109.68,09:00:28,S6,22.99
94.42,09:00:28,S7,22.97
107.5,09:00:28,S8,23.21
