Heart Rate,Time,Student,Temperature
84.78,09:00:16,S3,19.59
90.73,09:00:16,S4,19.54
108.58,09:00:16,S5,19.79
78.37,09:00:16,S6,19.77
97.25,09:00:16,S7,20.01
94.02,09:00:16,S8,19.17
101.95,09:00:16,S9,20.11
75.87,09:00:17,S1,20.09
91.4,09:00:17,S10,20.03
102.63,09:00:17,S2,20.12
84.92,09:00:17,S3,19.59
91.0,09:00:17,S4,19.54
108.53,09:00:17,S5,19.83
78.48,09:00:17,S6,19.77
97.68,09:00:17,S7,20.01
93.53,09:00:17,S8,19.2
101.83,09:00:17,S9,20.11
76.08,09:00:18,S1,20.09
90.68,09:00:18,S10,20.03
102.67,09:00:18,S2,20.12
85.02,09:00:18,S3,19.59
91.3,09:00:18,S4,19.54
108.5,09:00:18,S5,19.83
78.67,09:00:18,S6,19.77
98.13,09:00:18,S7,19.43
93.13,09:00:18,S8,19.2
101.77,09:00:18,S9,20.11
76.3,09:00:19,S1,20.09
90.07,09:00:19,S10,20.03
102.75,09:00:19,S2,20.11
85.07,09:00:19,S3,19.59
91.52,09:00:19,S4,19.53
108.48,09:00:19,S5,19.83
78.83,09:00:19,S6,19.79
98.35,09:00:19,S7,19.43
92.78,09:00:19,S8,19.2
101.7,09:00:19,S9,19.37
76.58,09:00:20,S1,20.11
89.42,09:00:20,S10,20.04
102.87,09:00:20,S2,20.11
85.1,09:00:20,S3,19.59
91.78,09:00:20,S4,19.53
108.47,09:00:20,S5,19.81
79.12,09:00:20,S6,19.79
98.55,09:00:20,S7,19.43
92.42,09:00:20,S8,19.2
101.55,09:00:20,S9,19.37
76.88,09:00:21,S1,20.11
88.82,09:00:21,S10,20.04
103.02,09:00:21,S2,20.11
85.1,09:00:21,S3,19.59
91.98,09:00:21,S4,19.53
108.5,09:00:21,S5,19.81
79.38,09:00:21,S6,19.79
98.73,09:00:21,S7,19.45
91.97,09:00:21,S8,19.2
101.4,09:00:21,S9,19.37
77.17,09:00:22,S1,20.11
88.12,09:00:22,S10,20.04
103.15,09:00:22,S2,20.12
85.05,09:00:22,S3,19.59
92.2,09:00:22,S4,19.54
108.55,09:00:22,S5,19.81
79.67,09:00:22,S6,19.79
98.98,09:00:22,S7,19.45
91.58,09:00:22,S8,19.2
101.28,09:00:22,S9,19.39
77.35,09:00:23,S1,20.09
87.32,09:00:23,S10,20.04
103.33,09:00:23,S2,20.12
84.88,09:00:23,S3,19.59
92.45,09:00:23,S4,19.54
108.62,09:00:23,S5,19.81
79.97,09:00:23,S6,19.79
99.18,09:00:23,S7,19.45
91.25,09:00:23,S8,19.23
101.13,09:00:23,S9,19.39
77.53,09:00:24,S1,20.09
86.52,09:00:24,S10,20.04
103.45,09:00:24,S2,20.12
84.73,09:00:24,S3,19.59
92.7,09:00:24,S4,19.54
108.67,09:00:24,S5,19.81
80.28,09:00:24,S6,19.79
99.38,09:00:24,S7,19.43
90.9,09:00:24,S8,19.23
100.83,09:00:24,S9,19.39
77.7,09:00:25,S1,20.09
85.85,09:00:25,S10,20.04
103.55,09:00:25,S2,20.12
84.53,09:00:25,S3,19.59
92.98,09:00:25,S4,19.57
108.7,09:00:25,S5,19.81
80.6,09:00:25,S6,19.79
99.62,09:00:25,S7,19.43
90.55,09:00:25,S8,19.23
100.4,09:00:25,S9,19.37
77.8,09:00:26,S1,20.11
85.22,09:00:26,S10,20.04
103.67,09:00:26,S2,20.12
84.38,09:00:26,S3,19.59
93.23,09:00:26,S4,19.57
108.73,09:00:26,S5,19.81
80.9,09:00:26,S6,19.79
99.8,09:00:26,S7,19.43
90.22,09:00:26,S8,19.27
100.0,09:00:26,S9,19.37
77.92,09:00:27,S1,20.11
84.83,09:00:27,S10,20.04
103.87,09:00:27,S2,20.12
84.23,09:00:27,S3,19.61
93.43,09:00:27,S4,19.57
108.77,09:00:27,S5,19.81
81.35,09:00:27,S6,19.79
100.02,09:00:27,S7,19.43
89.92,09:00:27,S8,19.27
99.63,09:00:27,S9,19.37
78.1,09:00:28,S1,20.11
84.45,09:00:28,S10,20.04
104.2,09:00:28,S2,20.51
84.07,09:00:28,S3,19.61
93.7,09:00:28,S4,19.54
108.8,09:00:28,S5,19.81
81.52,09:00:28,S6,19.77
100.27,09:00:28,S7,19.43
89.68,09:00:28,S8,19.27
99.12,09:00:28,S9,19.39
78.2,09:00:29,S1,20.12
84.08,09:00:29,S10,20.04
104.32,09:00:29,S2,20.51
83.87,09:00:29,S3,19.61
93.97,09:00:29,S4,19.54
108.83,09:00:29,S5,19.83
81.72,09:00:29,S6,19.77
100.52,09:00:29,S7,19.43
89.5,09:00:29,S8,19.31
98.65,09:00:29,S9,19.39
78.22,09:00:30,S1,20.12
83.7,09:00:30,S10,20.04
104.37,09:00:30,S2,20.51
83.65,09:00:30,S3,19.61
94.23,09:00:30,S4,19.54
108.85,09:00:30,S5,19.83
82.02,09:00:30,S6,19.77
100.78,09:00:30,S7,19.51
89.32,09:00:30,S8,19.31
98.03,09:00:30,S9,19.39
78.23,09:00:31,S1,20.12
83.33,09:00:31,S10,20.04
104.37,09:00:31,S2,20.31
83.45,09:00:31,S3,19.61
94.47,09:00:31,S4,19.54
109.0,09:00:31,S5,19.83
82.25,09:00:31,S6,19.79
101.05,09:00:31,S7,19.51
89.05,09:00:31,S8,19.31
97.43,09:00:31,S9,19.41
78.2,09:00:32,S1,20.11
83.0,09:00:32,S10,20.04
104.4,09:00:32,S2,20.31
83.25,09:00:32,S3,19.61
94.68,09:00:32,S4,19.54
109.1,09:00:32,S5,19.79
82.42,09:00:32,S6,19.79
101.32,09:00:32,S7,19.51
88.78,09:00:32,S8,19.23
96.87,09:00:32,S9,19.41
78.13,09:00:33,S1,20.11
82.65,09:00:33,S10,20.04
104.45,09:00:33,S2,20.31
83.1,09:00:33,S3,19.62
94.88,09:00:33,S4,19.54
109.18,09:00:33,S5,19.79
82.37,09:00:33,S6,19.79
101.63,09:00:33,S7,19.49
88.48,09:00:33,S8,19.23
96.3,09:00:33,S9,19.41
78.07,09:00:34,S1,20.11
82.32,09:00:34,S10,20.04
104.55,09:00:34,S2,20.33
82.98,09:00:34,S3,19.62
95.1,09:00:34,S4,19.54
109.43,09:00:34,S5,19.79
82.17,09:00:34,S6,19.81
101.9,09:00:34,S7,19.49
88.17,09:00:34,S8,19.23
95.75,09:00:34,S9,19.41
78.02,09:00:35,S1,20.12
82.0,09:00:35,S10,20.04
104.57,09:00:35,S2,20.33
82.82,09:00:35,S3,19.62
95.3,09:00:35,S4,19.54
109.55,09:00:35,S5,19.79
81.85,09:00:35,S6,19.81
102.25,09:00:35,S7,19.49
87.83,09:00:35,S8,19.27
95.27,09:00:35,S9,19.41
77.98,09:00:36,S1,20.12
81.72,09:00:36,S10,20.04
104.57,09:00:36,S2,20.33
82.57,09:00:36,S3,19.61
95.45,09:00:36,S4,19.54
109.7,09:00:36,S5,19.79
81.5,09:00:36,S6,19.81
102.82,09:00:36,S7,19.49
87.57,09:00:36,S8,19.27
94.77,09:00:36,S9,19.41
77.93,09:00:37,S1,20.12
81.47,09:00:37,S10,20.04
104.55,09:00:37,S2,20.19
82.3,09:00:37,S3,19.61
95.63,09:00:37,S4,19.57
109.85,09:00:37,S5,19.79
81.25,09:00:37,S6,19.81
103.42,09:00:37,S7,19.49
87.27,09:00:37,S8,19.27
94.23,09:00:37,S9,19.41
77.92,09:00:38,S1,20.12
81.23,09:00:38,S10,20.07
104.53,09:00:38,S2,20.19
82.03,09:00:38,S3,19.61
95.8,09:00:38,S4,19.57
110.02,09:00:38,S5,19.81
80.88,09:00:38,S6,19.81
104.0,09:00:38,S7,19.49
86.95,09:00:38,S8,19.27
93.65,09:00:38,S9,19.41
77.93,09:00:39,S1,20.12
81.1,09:00:39,S10,20.07
104.48,09:00:39,S2,20.19
81.62,09:00:39,S3,19.67
95.98,09:00:39,S4,19.57
110.2,09:00:39,S5,19.81
80.53,09:00:39,S6,19.81
104.57,09:00:39,S7,19.46
86.68,09:00:39,S8,19.27
93.07,09:00:39,S9,19.41
77.92,09:00:40,S1,20.12
80.92,09:00:40,S10,20.07
104.4,09:00:40,S2,20.19
81.28,09:00:40,S3,19.67
96.15,09:00:40,S4,19.59
110.32,09:00:40,S5,19.81
80.2,09:00:40,S6,19.81
105.2,09:00:40,S7,19.46
86.45,09:00:40,S8,19.27
92.38,09:00:40,S9,19.43
77.88,09:00:41,S1,20.12
80.72,09:00:41,S10,20.07
104.32,09:00:41,S2,20.19
80.92,09:00:41,S3,19.67
96.28,09:00:41,S4,19.59
110.45,09:00:41,S5,19.83
80.0,09:00:41,S6,19.81
105.28,09:00:41,S7,19.46
86.22,09:00:41,S8,19.31
91.63,09:00:41,S9,19.43
77.88,09:00:42,S1,20.12
80.5,09:00:42,S10,20.07
104.23,09:00:42,S2,20.19
80.7,09:00:42,S3,19.61
96.28,09:00:42,S4,19.59
110.6,09:00:42,S5,19.83
79.73,09:00:42,S6,19.81
105.35,09:00:42,S7,19.46
86.02,09:00:42,S8,19.31
90.88,09:00:42,S9,19.43
77.88,09:00:43,S1,20.12
80.37,09:00:43,S10,20.07
104.17,09:00:43,S2,20.15
80.4,09:00:43,S3,19.61
96.27,09:00:43,S4,19.57
110.7,09:00:43,S5,19.83
79.45,09:00:43,S6,19.81
105.48,09:00:43,S7,19.46
85.82,09:00:43,S8,19.31
90.25,09:00:43,S9,19.43
78.12,09:00:44,S1,20.12
80.23,09:00:44,S10,20.09
104.13,09:00:44,S2,20.15
80.08,09:00:44,S3,19.61
96.33,09:00:44,S4,19.57
110.75,09:00:44,S5,19.83
79.13,09:00:44,S6,19.81
105.63,09:00:44,S7,19.46
85.6,09:00:44,S8,19.33
89.62,09:00:44,S9,19.43
78.5,09:00:45,S1,20.12
80.1,09:00:45,S10,20.09
104.15,09:00:45,S2,20.15
