Student,Average Heart Rate,Average Temperature
S1,95.79278122396074,30.67551060087029
S10,88.2443486714193,30.207705767984447
S2,106.06094343116378,32.86285529117674
S3,88.4996648458476,30.59605777242848
S4,88.0547180816591,30.76046569762059
S5,93.50285714285714,32.230567540042586
S6,79.93630034256087,31.044633830200908
S7,89.4849060272197,27.6851819275993
S8,92.37653643181187,32.32171187852977
S9,83.76101951866592,32.07189889825016
